feature,category,subtopic,topic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Colors & Shapes,Learning Basics,What color is the night sky?,Yellow,Black,Green,Red,Black,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a heart?,Circle,Heart,Square,Triangle,Heart,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color are grapes?,Blue or Purple,Red,Yellow,White,Blue or Purple,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a slice of bread?,Circle,Square,Triangle,Star,Square,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color is snow?,White,Black,Blue,Green,White,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a clock face?,Square,Circle,Triangle,Rectangle,Circle,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color is fire?,Blue,Red,Green,Purple,Red,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a watermelon?,Square,Circle,Triangle,Rectangle,Circle,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color is a lemon?,Yellow,Red,Blue,Green,Yellow,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a diamond?,Square,Diamond,Circle,Triangle,Diamond,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color are elephants?,Pink,Gray,Blue,Green,Gray,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a television screen?,Circle,Rectangle,Triangle,Star,Rectangle,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color is water?,Clear,Blue,Green,Red,Clear,easy
Quiz,Kids,Colors & Shapes,Learning Basics,How many corners does a circle have?,1,2,0,4,0,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What color are tomatoes?,Blue,Red,Yellow,Green,Red,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape is a kite?,Triangle or Diamond,Circle,Square,Star,Triangle or Diamond,medium
Quiz,Kids,Colors & Shapes,Learning Basics,What color is milk?,White,Brown,Yellow,Blue,White,easy
Quiz,Kids,Colors & Shapes,Learning Basics,What shape has three sides?,Square,Triangle,Circle,Rectangle,Triangle,easy
Quiz,Kids,Colors & Shapes,Learning Basics,How many colors are in a rainbow?,5,6,7,8,7,medium
