feature,category,subtopic,topic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Birds & Insects,Nature,Which bird migrates long distances?,Sparrow,Arctic Tern,Chicken,Duck,Arctic Tern,hard
Quiz,Kids,Birds & Insects,Nature,Which insect is red with black spots?,Spider,Ladybug,Bee,Ant,Ladybug,easy
Quiz,Kids,Birds & Insects,Nature,Which bird is white and graceful on water?,Crow,Swan,Parrot,Eagle,Swan,easy
Quiz,Kids,Birds & Insects,Nature,Which insect makes a chirping sound at night?,Bee,Cricket,Ant,Spider,Cricket,easy
Quiz,Kids,Birds & Insects,Nature,Which bird has a big colorful beak?,Eagle,Toucan,Sparrow,Crow,Toucan,medium
Quiz,Kids,Birds & Insects,Nature,Which insect can jump very high?,Bee,Grasshopper,Ant,Spider,Grasshopper,easy
Quiz,Kids,Birds & Insects,Nature,Which bird can swim underwater?,Sparrow,Penguin,Parrot,Crow,Penguin,easy
Quiz,Kids,Birds & Insects,Nature,Which insect has a long proboscis?,Bee,Butterfly,Ant,Spider,Butterfly,hard
Quiz,Kids,Birds & Insects,Nature,Which bird is yellow and small?,Eagle,Canary,Ostrich,Peacock,Canary,medium
Quiz,Kids,Birds & Insects,Nature,Which insect lives in colonies underground?,Bee,Ant,Butterfly,Spider,Ant,easy
Quiz,Kids,Birds & Insects,Nature,Which bird hunts at night?,Sparrow,Owl,Parrot,Robin,Owl,easy
Quiz,Kids,Birds & Insects,Nature,Which insect has a stinger?,Butterfly,Bee,Ant,Spider,Bee,easy
Quiz,Kids,Birds & Insects,Nature,Which bird has a crown on its head?,Sparrow,Cockatoo,Crow,Robin,Cockatoo,medium
Quiz,Kids,Birds & Insects,Nature,Which insect sheds its skin?,Bee,Dragonfly,Butterfly,Spider,Dragonfly,medium
Quiz,Kids,Birds & Insects,Nature,Which bird stands on one leg?,Crow,Flamingo,Parrot,Sparrow,Flamingo,medium
Quiz,Kids,Birds & Insects,Nature,Which insect has transparent wings?,Bee,Dragonfly,Ant,Spider,Dragonfly,medium
Quiz,Kids,Birds & Insects,Nature,Which bird makes a nest in chimneys?,Parrot,Swift,Eagle,Peacock,Swift,hard
Quiz,Kids,Birds & Insects,Nature,Which insect can survive without a head?,Bee,Cockroach,Butterfly,Spider,Cockroach,hard
Quiz,Kids,Birds & Insects,Nature,Which bird lays the largest eggs?,Sparrow,Ostrich,Crow,Parrot,Ostrich,medium
Quiz,Kids,Birds & Insects,Nature,Which insect has the shortest lifespan?,Ant,Mayfly,Bee,Butterfly,Mayfly,hard
Quiz,Kids,Birds & Insects,Nature,Which bird is known for dancing?,Crow,Peacock,Sparrow,Robin,Peacock,easy
Quiz,Kids,Birds & Insects,Nature,Which insect is known for working hard?,Butterfly,Ant,Spider,Fly,Ant,easy
Quiz,Kids,Birds & Insects,Nature,Which bird has webbed feet?,Eagle,Duck,Parrot,Crow,Duck,easy
