feature,category,subtopic,topic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Fruits & Vegetables,Food,Which fruit has vitamin C?,Potato,Orange,Carrot,Onion,Orange,medium
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is used to make french fries?,Carrot,Potato,Tomato,Onion,Potato,easy
Quiz,Kids,Fruits & Vegetables,Food,Which fruit is sour and makes lemonade?,Orange,Lemon,Apple,Banana,Lemon,easy
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is green and makes salad crunchy?,Potato,Lettuce,Carrot,Onion,Lettuce,easy
Quiz,Kids,Fruits & Vegetables,Food,Which fruit grows on a vine?,Carrot,Grapes,Potato,Onion,Grapes,easy
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is red and sweet?,Broccoli,Tomato,Carrot,Onion,Tomato,easy
Quiz,Kids,Fruits & Vegetables,Food,Which fruit is hairy on the outside?,Apple,Peach,Orange,Banana,Peach,medium
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is green and looks like a small tree?,Carrot,Broccoli,Potato,Tomato,Broccoli,easy
Quiz,Kids,Fruits & Vegetables,Food,Which fruit is blue and small?,Apple,Blueberry,Orange,Banana,Blueberry,easy
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is long and green like a cucumber?,Potato,Zucchini,Carrot,Onion,Zucchini,medium
Quiz,Kids,Fruits & Vegetables,Food,Which fruit is red and shaped like a heart?,Banana,Strawberry,Orange,Grapes,Strawberry,easy
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is white and crispy?,Tomato,Radish,Carrot,Broccoli,Radish,medium
Quiz,Kids,Fruits & Vegetables,Food,Which fruit is tropical and spiky outside?,Apple,Pineapple,Banana,Orange,Pineapple,easy
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable has many layers?,Carrot,Onion,Tomato,Cucumber,Onion,easy
Quiz,Kids,Fruits & Vegetables,Food,Which fruit is used to make jam?,Potato,Strawberry,Carrot,Onion,Strawberry,easy
Quiz,Kids,Fruits & Vegetables,Food,Which vegetable is green and used in soup?,Carrot,Celery,Potato,Tomato,Celery,medium
