id,question,category,options,correctAnswer,level
P39,Which language is used for styling web pages?,programming,HTML;CSS;Python;SQL,CSS,medium
P40,Heap memory is used for __.,programming,Local variables;Dynamic allocation;Registers;Stack frames,Dynamic allocation,medium

P41,Which algorithm is divide and conquer?,programming,Bubble sort;Merge sort;Selection sort;Insertion sort,Merge sort,hard
P42,Deadlock occurs in __.,programming,CPU;RAM;Multithreading;File system,Multithreading,hard
P43,Which searching is fastest?,programming,Linear;Binary;Interpolation;DFS,Interpolation,hard
P44,Quick sort worst case time complexity?,programming,O(n);O(n log n);O(n^2);O(1),O(n^2),hard
P45,Which protects data using private access?,programming,Encapsulation;Abstraction;Polymorphism;Interfaces,Encapsulation,hard
P46,Which SQL constraint ensures uniqueness?,programming,DEFAULT;PRIMARY KEY;FOREIGN KEY;CHECK,PRIMARY KEY,hard
P47,Which tree is height-balanced?,programming,BST;Heap;AVL Tree;B+ Tree,AVL Tree,hard
P48,What is a race condition?,programming,Invalid syntax;Multiple threads interfering;Memory leak;Cache miss,Multiple threads interfering,hard
P49,Which of these is NP-complete?,programming,Sorting;Traveling Salesman;Searching;Stack operations,Traveling Salesman,hard
P50,Which protocol ensures reliable communication?,programming,UDP;ARP;TCP;ICMP,TCP,hard

P51,OOPS pillar NOT included?,programming,Abstraction;Polymorphism;Encapsulation;Compilation,Compilation,medium
P52,Which returns an iterator in Python?,programming,range();list();input();print(),range(),medium
P53,In C, malloc returns __.,programming,int;char*;void*;float*,void*,medium
P54,Which finds shortest path?,programming,DFS;BFS;Dijkstra;Merge sort,Dijkstra,medium
P55,Which is client-side scripting?,programming,PHP;JavaScript;Node.js;SQL,JavaScript,medium
P56,Java compiler converts code to __.,programming,Machine code;Bytecode;Binary;None,Bytecode,medium
P57,Which loads classes dynamically?,programming,ClassLoader;JVM;JRE;JDK,ClassLoader,medium
P58,Python uses __ typing.,programming,Static;Dynamic;Hybrid;Manual,Dynamic,medium
P59,Hash table average search time?,programming,O(n);O(log n);O(1);O(n log n),O(1),medium
P60,Which file extension is Java source?,programming,.jav;.java;.class;.jar,.java,medium

P61,Which DS is used in recursion?,programming,Queue;Stack;Array;Linked list,Stack,medium
P62,SQL MIN() returns __.,programming,Maximum;Minimum;Average;Count,Minimum,medium
P63,Which sorts fastest on average?,programming,Selection;Bubble;Quick sort;Merge sort,Quick sort,medium
P64,Which is NOT a loop?,programming,for;while;do-while;goto,goto,medium
P65,Which operator allocates memory in C++?,programming,new;malloc;alloc;create,new,medium
P66,Which measures algorithm performance?,programming,Space+Time;Length;Height;Levels,Space+Time,medium
P67,Which database model is hierarchical?,programming,SQL;NoSQL;Tree;JSON,Tree,medium
P68,Network device for broadcasting?,programming,Switch;Router;Hub;Firewall,Hub,medium
P69,OS handles __.,programming,Memory;Process;File;All,All,medium
P70,Which process executes first?,programming,Parent;Child;Zombie;Daemon,Parent,medium

P71,A pointer stores __.,programming,Address;Value;Variable;Object,Address,easy
P72,Which statement is used in exception handling?,programming,try-catch;while;switch;goto,try-catch,medium
P73,Which is NOT a valid Python loop?,programming,for;while;repeat;None,repeat,medium
P74,SQL COUNT(*) returns __.,programming,Sum;Count rows;Min;Max,Count rows,easy
P75,Binary of 5 is __.,programming,100;101;110;111,101,easy
P76,Which is NOT a Java access specifier?,programming,private;protected;public;friendly,friendly,medium
P77,Which pointer leads to crash?,programming,NULL;Dangling;Smart;Void,Dangling,medium
P78,Which is a graph traversal?,programming,DFS;Chunking;Hashing;Sorting,DFS,medium
P79,JVM stands for __.,programming,Java Virtual Machine;Java Variable Manager;Jumbo VM;None,Java Virtual Machine,easy
P80,SQL GROUP BY is used for __.,programming,Sorting;Grouping rows;Deleting;Joining,Grouping rows,medium

P81,Python package manager?,programming,pip;apt;brew;npm,pip,easy
P82,C++ supports __.,programming,OOP;Only C features;No OOP;Functional only,OOP,medium
P83,Hash collision handled by __.,programming,Chaining;Blocking;Sorting;Merging,Chaining,medium
P84,Which returns random value?,programming,rand();random();num();rnd(),rand(),easy
P85,What is SQL view?,programming,Virtual table;Real table;Schema;Function,Virtual table,medium
P86,Which is NOT a Python datatype?,programming,int;float;real;dict,real,easy
P87,Heap overflow occurs when __.,programming,Too many threads;No memory left;Null access;Pointer mismatch,No memory left,hard
P88,Which is stable sorting?,programming,Merge sort;Quick sort;Heap sort;Selection sort,Merge sort,medium
P89,select * from table returns __.,programming,All rows;Only first row;Errors;Metadata,All rows,easy
P90,Linked list traversal is __.,programming,O(1);O(n);O(n^2);O(log n),O(n),medium

P91,Thread safe DS?,programming,Vector;ArrayList;HashMap;TreeSet,Vector,hard
P92,Database transaction property?,programming,CRUD;REST;ACID;STAT,ACID,hard
P93,Which IP version uses 128 bits?,programming,IPv4;IPv6;MAC;TCP,IPv6,medium
P94,Firewall is used for __.,programming,Security;Speed;Backup;Routing,Security,medium
P95,DFS uses __.,programming,Queue;Stack;Heap;Tree,Stack,medium
P96,FIFO scheduling?,programming,Queue;Stack;Priority;Round robin,Queue,medium
P97,In Java, String is __.,programming,Mutable;Immutable;Final;Primitive,Immutable,medium
P98,Which is not NoSQL?,programming,MongoDB;Redis;MySQL;Cassandra,MySQL,medium
P99,Python indentation uses __ spaces?,programming,2;4;6;8,4,easy
P100,Binary tree max children?,programming,1;2;3;4,2,easy

P101,Merge sort uses __.,programming,Recursion;Iteration;Heap;Graph,Recursion,medium
P102,Network layer uses __ protocol.,programming,IP;TCP;UDP;FTP,IP,medium
P103,JSON stands for __.,programming,JavaScript Object Notation;Java Syntax Object;Joint System Object;None,JavaScript Object Notation,easy
P104,C uses __ for address-of operator.,programming,@;&;#;?,&,easy
P105,Python dictionary stores data as __.,programming,key-value;index-array;tree-branch;binarypair,key-value,medium
P106,SQL DELETE removes __.,programming,Table;View;Rows;Column,Rows,medium
P107,Compiler generates __ errors.,programming,Runtime;Compile-time;Network;Memory,Compile-time,easy
P108,DOS stands for __.,programming,Disk Operating System;Data OS;Direct OS;None,Disk Operating System,medium
P109,JDK includes __.,programming,JVM;JRE;Tools;All,All,medium
P110,Dynamic memory in C uses __.,programming,new;malloc;alloc;allocate,malloc,medium

P111,OS scheduling algorithm?,programming,LIFO;FCFS;Merge sort;Bubble sort,FCFS,medium
P112,Network topology shaped like star?,programming,Bus;Ring;Star;Mesh,Star,easy
P113,Which is OR operator?,programming,&&;||;!;&,||,easy
P114,ArrayList is __.,programming,Synchronized;Not synchronized;Thread safe;Immutable,Not synchronized,medium
P115,SQL TIMESTAMP stores __.,programming,Date;Time;Date & Time;None,Date & Time,medium
P116,Queue insertion is called __.,programming,push;enqueue;add;insert,enqueue,easy
P117,Tree traversal not valid?,programming,Inorder;Postorder;Preorder;Sideorder,Sideorder,easy
P118,BFS uses __.,programming,Queue;Stack;Array;Tree,Queue,medium
P119,Deadlock needs __ conditions.,programming,2;3;4;5,4,hard
P120,Java interface allows __.,programming,Static methods only;Abstract methods;Multiple inheritance;None,Abstract methods,medium

P121,Python file extension?,programming,.js;.py;.pt;.pyt,.py,easy
P122,MD5 is a __ algorithm.,programming,Hashing;Sorting;Encryption;Compression,Hashing,medium
P123,SQL LIMIT is used for __.,programming,Sorting;Restrict rows;Joins;Insert,Restrict rows,medium
P124,Function overloading allows __.,programming,Multiple functions with same name;Multiple classes;Multiple files;None,Multiple functions with same name,medium
P125,Mutex is used for __.,programming,Parallel execution;Synchronization;I/O;Network,Synchronization,hard
P126,C++ supports __ inheritance.,programming,Single;Multiple;Both;None,Both,medium
P127,Python supports __ programming.,programming,OOP;Functional;Procedural;All,All,medium
P128,SQL UNION combines __.,programming,Columns;Rows;Tables;Views,Rows,medium
P129,LAN stands for __.,programming,Large Area Network;Local Area Network;Linked Area Network;Logical Network,Local Area Network,easy
P130,Which DS is fastest? ,programming,Array;Linked list;HashMap;Queue,HashMap,medium

P131,AI stands for __.,programming,Auto Intelligence;Artificial Intelligence;Advanced Integration;Algorithmic Input,Artificial Intelligence,easy
P132,C language is __ typed.,programming,Strong;Weak;Dynamic;Static,Static,medium
P133,SQL ORDER BY sorts __.,programming,Rows;Columns;Tables;None,Rows,medium
P134,REST uses __ protocol.,programming,TCP;UDP;HTTP;FTP,HTTP,medium
P135,POST request sends data in __.,programming,URL;Body;Header;Cookie,Body,medium
P136,Java final keyword means __.,programming,Not modifiable;Private;Public;Static,Not modifiable,medium
P137,A linked list node has __.,programming,Data only;Pointer only;Data & pointer;None,Data & pointer,medium
P138,SQL LIKE operator matches __.,programming,Pattern;Numbers;Schema;Keys,Pattern,medium
P139,IPv4 uses __ bits.,programming,8;16;32;64,32,medium
P140,Queue deletion is called __.,programming,pop;dequeue;remove;shift,dequeue,medium

P141,Java supports __ threading.,programming,Single;Multi;No;Hybrid,Multi,medium
P142,Heap sort time complexity is __.,programming,O(n);O(log n);O(n log n);O(n^2),O(n log n),hard
P143,P=NP problem belongs to __.,programming,OS;Algorithms;Complexity theory;Networking,Complexity theory,hard
P144,Binary search requires __.,programming,Sorted array;Unsorted array;Tree;Graph,Sorted array,medium
P145,SQL INDEX improves __.,programming,Security;Speed;Memory;Backup,Speed,medium
P146,Compiler vs Interpreter difference?,programming,Compile vs Run;Slow vs Fast;Memory vs CPU;None,Compile vs Run,medium
P147,Thread starvation occurs due to __.,programming,Too many locks;Deadlock;Priority issues;No memory,Priority issues,hard
P148,Object file extension in C?,programming,.o;.c;.exe;.out,.o,medium
P149,Python uses __ for block scope.,programming,{};();[];Indentation,Indentation,easy
P150,Time complexity of insertion in array?,programming,O(1);O(n);O(log n);O(n log n),O(n),medium
