question,optionA,optionB,optionC,optionD,correctAnswer,category,difficulty
Which is the odd one?,Apple,Banana,Carrot,Mango,Carrot,kids,hard
What comes next: A, C, E, ?, G?,F,kids,hard
How many sides do 2 triangles have together?,4,5,6,7,6,kids,hard
Which is heavier?,1kg cotton,1kg iron,Both same,None,Both same,kids,hard
If today is Monday, tomorrow is?,Sunday,Tuesday,Friday,Saturday,Tuesday,kids,hard
Which shape has more sides?,Triangle,Square,Circle,None,Square,kids,hard
What comes next: 5, 10, 15, ?, 25?,20,kids,hard
Which number is biggest?,19,21,18,20,21,kids,hard
If you see a mirror image of 3, it looks like?,Ɛ,3,E,B,Ɛ,kids,hard
How many minutes in 1 hour?,30,45,60,90,60,kids,hard
Which one cannot roll?,Ball,Cylinder,Box,Wheel,Box,kids,hard
What comes next: Sun, Mon, Tue, ?, Thu?,Wed,kids,hard
Which animal is nocturnal?,Cow,Dog,Owl,Goat,Owl,kids,hard
How many corners does a cube have?,4,6,8,10,8,kids,hard
If you add 10 + 5, what is half of the result?,5,7.5,10,15,7.5,kids,hard
Which one is not a fruit?,Apple,Banana,Potato,Mango,Potato,kids,hard
Which month has least days?,January,February,March,April,February,kids,hard
What comes next: 1, 1, 2, 3, ?, 5?,5,kids,hard
Which is faster?,Snail,Turtle,Car,Bicycle,Car,kids,hard
How many legs do 3 spiders have?,12,18,24,6,24,kids,hard
Which one melts?,Stone,Ice,Wood,Plastic,Ice,kids,hard
If 5 + 5 = 10, then 10 + 10 =?,15,20,25,30,20,kids,hard
Which is a renewable resource?,Coal,Petrol,Sunlight,Gas,Sunlight,kids,hard
How many letters in word “ELEPHANT”?,6,7,8,9,8,kids,hard
Which one floats?,Stone,Iron,Wood,Brick,Wood,kids,hard
If you count backwards from 10, what comes after 7?,6,5,8,9,6,kids,hard
Which has more weight?,1kg apples,500g apples,Same,Depends,1kg apples,kids,hard
Which animal uses echolocation?,Dog,Bat,Cow,Cat,Bat,kids,hard
