id,question,category,options,correctAnswer,level
S34,Who discovered gravity?,students,Newton;Einstein;Tesla;Galileo,Newton,medium
S35,Which is a renewable source of energy?,students,Coal;Oil;Wind;Gas,Wind,medium
S36,Which continent is the largest?,students,Africa;Asia;Europe;Australia,Asia,medium
S37,Which organ helps in breathing?,students,Heart;Lungs;Liver;Kidney,Lungs,medium
S38,Which vitamin do we get from sunlight?,students,Vitamin A;Vitamin B;Vitamin C;Vitamin D,Vitamin D,medium
S39,Which country invented paper?,students,India;China;Japan;Egypt,China,medium
S40,Who is the “Father of Computers”?,students,Bill Gates;Charles Babbage;Alan Turing;Steve Jobs,Charles Babbage,medium

S41,Which one is an example of evaporation?,students,Rainfall;Boiling water;Melting ice;Cloud formation,Boiling water,hard
S42,What is the powerhouse of the cell?,students,Nucleus;Chloroplast;Mitochondria;Ribosome,Mitochondria,hard
S43,What is democratic government?,students,Rule by one person;Rule by few people;Rule by elected leaders;Rule by army,Rule by elected leaders,hard
S44,Which is not a polygon?,students,Circle;Triangle;Hexagon;Pentagon,Circle,hard
S45,Which acid is found in the stomach?,students,Acetic acid;Hydrochloric acid;Citric acid;Lactic acid,Hydrochloric acid,hard
S46,What is the smallest unit of life?,students,Cell;Atom;Molecule;Tissue,Cell,hard
S47,What is inertia?,students,Force;Energy;Resistance to motion;Speed,Resistance to motion,hard
S48,What causes tides?,students,Sun;Moon;Stars;Clouds,Moon,hard
S49,What is the speed of light?,students,3,000 km/s;30,000 km/s;300,000 km/s;3 million km/s,300,000 km/s,hard
S50,How many chromosomes do humans have?,students,23;42;46;48,46,hard

S51,Which metal is used in wires?,students,Gold;Copper;Iron;Aluminum,Copper,medium
S52,Which blood cells fight infections?,students,RBC;WBC;Platelets;Plasma,WBC,medium
S53,Which type of noun is "happiness"?,students,Common noun;Proper noun;Abstract noun;Material noun,Abstract noun,medium
S54,Which planet has rings?,students,Mars;Saturn;Venus;Earth,Saturn,medium
S55,Which river flows through Egypt?,students,Amazon;Nile;Ganga;Rhine,Nile,medium
S56,Who invented telephone?,students,Edison;Newton;Bell;Tesla,Bell,medium
S57,Which triangle has all equal sides?,students,Scalene;Isosceles;Equilateral;Right-angled,Equilateral,medium
S58,Which process turns water into vapor?,students,Condensation;Evaporation;Freezing;Melting,Evaporation,medium
S59,What is the synonym of “Brave”?,students,Coward;Fearless;Lazy;Weak,Fearless,medium
S60,What is the antonym of “Quick”?,students,Fast;Slow;Rapid;Swift,Slow,medium

S61,Which organ purifies blood?,students,Brain;Kidneys;Heart;Liver,Kidneys,medium
S62,What is the largest desert?,students,Sahara;Gobi;Kalahari;Atacama,Sahara,medium
S63,Which one is a verb?,students,Run;Beautiful;Fish;Happy,Run,medium
S64,What is the square of 15?,students,125;200;225;250,225,medium
S65,Which gas do plants absorb?,students,Oxygen;Carbon dioxide;Nitrogen;Helium,Carbon dioxide,medium
S66,Who invented electricity?,students,Franklin;Newton;Tesla;Edison,Franklin,medium
S67,Which is the largest bone?,students,Femur;Rib;Spine;Skull,Femur,medium
S68,What is 12 × 12?,students,124;144;134;154,144,medium
S69,What is the synonym of “Happy”?,students,Sad;Joyful;Angry;Weak,Joyful,medium
S70,Which ocean is the largest?,students,Pacific;Atlantic;Indian;Arctic,Pacific,medium

S71,Who was the first President of India?,students,Gandhi;Jawaharlal Nehru;Rajendra Prasad;APJ Abdul Kalam,Rajendra Prasad,hard
S72,What is chlorophyll used for?,students,Respiration;Photosynthesis;Digestion;Growth,Photosynthesis,hard
S73,Which of these is NOT a state of matter?,students,Solid;Liquid;Gas;Heat,Heat,hard
S74,Where is Taj Mahal located?,students,Mumbai;Agra;Delhi;Jaipur,Agra,hard
S75,Who developed the theory of relativity?,students,Einstein;Newton;Galileo;Darwin,Einstein,hard
S76,Which movement did Mahatma Gandhi lead?,students,Sepoy Mutiny;Quit India;Khilafat;Chauri Chaura,Quit India,hard
S77,Which device stores data permanently?,students,RAM;ROM;Cache;Register,ROM,hard
S78,What is the SI unit of force?,students,Joule;Newton;Pascal;Watt,Newton,hard
S79,What is the chemical formula of table salt?,students,HCl;NaCl;KCl;CCl2,NaCl,hard
S80,What is the hardest known metal?,students,Gold;Diamond;Tungsten;Platinum,Tungsten,hard

S81,Which organ controls the body?,students,Heart;Brain;Liver;Lungs,Brain,medium
S82,Which animal is warm-blooded?,students,Fish;Snake;Bird;Frog,Bird,medium
S83,How many players in a cricket team?,students,9;10;11;12,11,easy
S84,What is the nearest star?,students,Moon;Sun;Mars;Venus,Sun,easy
S85,Which is a leap year?,students,2023;2024;2025;2026,2024,easy
S86,Which country has the largest population?,students,USA;India;China;Russia,China,medium
S87,Which is the national flower of India?,students,Lotus;Rose;Lily;Sunflower,Lotus,medium
S88,How many planets are in the solar system?,students,7;8;9;10,8,medium
S89,Which shape has 4 equal sides?,students,Rectangle;Square;Triangle;Pentagon,Square,easy
S90,What is freezing point of water?,students,0°C;10°C;50°C;100°C,0°C,easy

S91,Who invented the aeroplane?,students,Newton;Edison;Wright brothers;Tesla,Wright brothers,medium
S92,What is the value of 2³?,students,4;6;8;10,8,medium
S93,Which is a programming language?,students,HTML;Java;HTTP;URL,Java,medium
S94,Which organ stores bile?,students,Liver;Kidney;Gallbladder;Heart,Gallbladder,hard
S95,Which planet has the most moons?,students,Mars;Earth;Jupiter;Venus,Jupiter,hard
S96,Which gas is used in balloons?,students,Hydrogen;Helium;Nitrogen;Oxygen,Helium,easy
S97,Where do penguins live?,students,Desert;Antarctica;Forest;Mountain,Antarctica,easy
S98,Which metal is used in thermometers?,students,Copper;Mercury;Iron;Gold,Mercury,medium
S99,What is 25% of 200?,students,20;25;30;50,50,medium
S100,Which continent is India in?,students,Asia;Europe;Africa;Australia,Asia,easy
